"","alpha","g_ratio","g_ratio_sd","type"
"31",0.3,0.548295590162451,0.16245502131154,"Betw Targeted"
"32",0,0.889302580347645,0.15260370002956,"Random"
"33",0.01,0.937507723150168,0.0834535451839945,"Random"
"34",0.02,0.934443204740074,0.116661858334041,"Random"
"35",0.03,0.919964664159701,0.101674214313449,"Random"
"36",0.04,0.936339444353655,0.107087757226666,"Random"
"37",0.05,0.910232111417294,0.123174482023433,"Random"
"38",0.06,0.895277964471971,0.164473418660075,"Random"
"39",0.07,0.854310231764775,0.192340710850298,"Random"
"40",0.08,0.87238914469273,0.176369474379794,"Random"
"41",0.09,0.903083221848917,0.143435500690565,"Random"
"42",0.1,0.907305762232185,0.113344517311825,"Random"
"43",0.11,0.926728414771469,0.122731874033902,"Random"
"44",0.12,0.960460791316654,0.0692066156998788,"Random"
"45",0.13,0.932023929280303,0.101547517592754,"Random"
"46",0.14,0.899644809637017,0.166947052720244,"Random"
"47",0.15,0.882997628999321,0.152337320860148,"Random"
"48",0.16,0.934920188403557,0.0919583814386171,"Random"
"49",0.17,0.944264106204655,0.0830843993650745,"Random"
"50",0.18,0.885976995029275,0.156835711940524,"Random"
"51",0.19,0.925105726034514,0.102821900370721,"Random"
"52",0.2,0.944646481250549,0.0621736182238379,"Random"
"53",0.21,0.910000776567755,0.133793407279478,"Random"
"54",0.22,0.940804365691775,0.0769269807088473,"Random"
"55",0.23,0.951048670987595,0.0693428548929324,"Random"
"56",0.24,0.918680161170568,0.12576214282199,"Random"
"57",0.25,0.95079942401911,0.0669102548413966,"Random"
"58",0.26,0.913429564347296,0.1330047161801,"Random"
"59",0.27,0.931134029110641,0.11187291250867,"Random"
"60",0.28,0.937964351074452,0.0962416384270595,"Random"
"61",0.29,0.913313833468988,0.117354511123389,"Random"
"62",0.3,0.93684783969356,0.0880728545922387,"Random"
"63",0,0.879763367908969,0.17512202877745,"Deg targeted"
"64",0.01,0.859677397159436,0.187299110694764,"Deg targeted"
"65",0.02,0.864666436919091,0.182187007766178,"Deg targeted"
"66",0.03,0.82184853541594,0.21520250337369,"Deg targeted"
"67",0.04,0.861338572084823,0.17784457957144,"Deg targeted"
"68",0.05,0.885396074490479,0.179297676547825,"Deg targeted"
"69",0.06,0.847154945679834,0.205262042030083,"Deg targeted"
"70",0.07,0.882230282169632,0.194158645715856,"Deg targeted"
"71",0.08,0.883410479243627,0.196580446847746,"Deg targeted"
"72",0.09,0.822029732686891,0.24467141691795,"Deg targeted"
"73",0.1,0.867419089003411,0.162859759111333,"Deg targeted"
"74",0.11,0.889949440560905,0.159333520780529,"Deg targeted"
"75",0.12,0.883506003417752,0.154674424393074,"Deg targeted"
"76",0.13,0.857407840446425,0.187942572756623,"Deg targeted"
"77",0.14,0.88736479802678,0.158839277022835,"Deg targeted"
"78",0.15,0.905240681829199,0.161601744104254,"Deg targeted"
"79",0.16,0.867335627009076,0.190620040398351,"Deg targeted"
"80",0.17,0.92000075824976,0.169184426904267,"Deg targeted"
"81",0.18,0.873636899335747,0.176540823628459,"Deg targeted"
"82",0.19,0.927465047790304,0.0978611849339444,"Deg targeted"
"83",0.2,0.844215619199518,0.21490791760336,"Deg targeted"
"84",0.21,0.880104480554645,0.1769743982317,"Deg targeted"
"85",0.22,0.817349240750763,0.20066457893505,"Deg targeted"
"86",0.23,0.901396075570625,0.142809040359523,"Deg targeted"
"87",0.24,0.928630018843942,0.106658029479302,"Deg targeted"
"88",0.25,0.902016706736886,0.136365353434987,"Deg targeted"
"89",0.26,0.878207441952929,0.146377848839641,"Deg targeted"
"90",0.27,0.893044533494623,0.159355905631787,"Deg targeted"
"91",0.28,0.84696389407203,0.164375780071198,"Deg targeted"
"92",0.29,0.904194718763818,0.166760049447859,"Deg targeted"
"93",0.3,0.908242275239002,0.145199696960087,"Deg targeted"
