# index, pos, _pos
211,"array([398.05, 636.28])","array([3.0237342, 8.3471265])"
212,"array([398.62, 867.86])","array([2.77340242, 8.36180115])"
213,"array([400.9 , 831.45])","array([2.91337399, 8.30650255])"
214,"array([ 403.17, 1392.48])","array([1.76077573, 7.92062846])"
215,"array([403.74, 404.13])","array([3.43976362, 8.57951139])"
216,"array([ 407.73, 1221.78])","array([2.19658599, 8.09467347])"
217,"array([410.57, 315.37])","array([3.53373651, 8.66208202])"
218,"array([411.14, 256.76])","array([3.69863742, 8.63977962])"
219,"array([420.81, 665.87])","array([2.98869366, 8.5289733 ])"
220,"array([ 430.49, 1456.21])","array([1.66930744, 7.95860512])"
221,"array([430.49, 869.  ])","array([2.75139165, 8.50762594])"
222,"array([ 436.18, 1354.92])","array([1.80731869, 8.05253027])"
223,"array([439.02, 434.86])","array([3.34055241, 8.63905307])"
224,"array([ 440.73, 1163.74])","array([2.26262411, 8.20687846])"
225,"array([ 440.73, 1260.47])","array([2.06144984, 8.15313925])"
226,"array([ 443.57, 1484.09])","array([1.54357044, 8.01767115])"
227,"array([ 446.42, 1315.09])","array([1.92054921, 8.13523617])"
228,"array([446.42, 138.41])","array([3.73501355, 8.78062499])"
229,"array([  45.84, 1110.26])","array([2.40662344, 7.46989701])"
230,"array([ 451.54, 1498.88])","array([1.48475117, 8.13351552])"
231,"array([ 454.95, 1141.55])","array([2.32630388, 8.41404   ])"
232,"array([465.19, 451.93])","array([3.34803647, 8.74497166])"
233,"array([468.61, 497.45])","array([3.22265779, 8.62270954])"
234,"array([468.61, 909.4 ])","array([2.63342882, 8.58674861])"
235,"array([ 470.88, 1543.26])","array([1.34433203, 8.11148857])"
236,"array([ 471.45, 1005.56])","array([2.54083271, 8.33900846])"
237,"array([499.33, 475.82])","array([3.24893894, 8.77471256])"
238,"array([ 501.04, 1397.03])","array([1.72897436, 8.13468652])"
239,"array([ 504.46, 1229.75])","array([2.07265928, 8.27569617])"
240,"array([ 517.54, 1008.41])","array([2.45535258, 8.46766279])"
241,"array([ 521.53, 1325.34])","array([1.886754  , 8.24276367])"
242,"array([ 522.22, 1220.89])","array([2.07010946, 8.46162541])"
243,"array([527.78, 783.08])","array([2.84957455, 8.60141309])"
244,"array([528.92, 993.61])","array([2.48930033, 8.63264777])"
245,"array([530.06, 413.24])","array([3.41755699, 8.8298142 ])"
246,"array([536.89, 321.06])","array([3.53148924, 8.82279122])"
247,"array([540.3 , 602.14])","array([3.07248613, 8.67032171])"
