"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,23,2,8,1e-04
10000,100,1,0.1,23,2,9,1e-04
10000,100,1,0.1,23,2,10,1e-04
10000,100,1,0.1,23,2,11,1e-04
10000,100,1,0.1,23,2,12,1e-04
10000,100,1,0.1,23,2,13,1e-04
10000,100,1,0.1,23,2,14,1e-04
10000,100,1,0.1,23,2,15,1e-04
10000,100,1,0.1,23,2,16,1e-04
10000,100,1,0.1,23,2,17,1e-04
10000,100,1,0.1,23,2,18,1e-04
10000,100,1,0.1,23,2,19,1e-04
10000,100,1,0.1,23,2,20,1e-04
10000,100,1,0.1,23,2,21,1e-04
10000,100,1,0.1,23,2,22,1e-04
10000,100,1,0.1,23,2,23,1e-04
10000,100,1,0.1,23,2,24,1e-04
10000,100,1,0.1,23,2,25,1e-04
10000,100,1,0.1,24,2,1,1e-04
10000,100,1,0.1,24,2,2,1e-04
10000,100,1,0.1,24,2,3,1e-04
10000,100,1,0.1,24,2,4,1e-04
10000,100,1,0.1,24,2,5,1e-04
10000,100,1,0.1,24,2,6,1e-04
10000,100,1,0.1,24,2,7,1e-04
10000,100,1,0.1,24,2,8,1e-04
10000,100,1,0.1,24,2,9,1e-04
10000,100,1,0.1,24,2,10,1e-04
10000,100,1,0.1,24,2,11,1e-04
10000,100,1,0.1,24,2,12,1e-04
10000,100,1,0.1,24,2,13,1e-04
10000,100,1,0.1,24,2,14,1e-04
10000,100,1,0.1,24,2,15,1e-04
10000,100,1,0.1,24,2,16,1e-04
10000,100,1,0.1,24,2,17,1e-04
10000,100,1,0.1,24,2,18,1e-04
10000,100,1,0.1,24,2,19,1e-04
10000,100,1,0.1,24,2,20,1e-04
10000,100,1,0.1,24,2,21,1e-04
10000,100,1,0.1,24,2,22,1e-04
10000,100,1,0.1,24,2,23,1e-04
10000,100,1,0.1,24,2,24,1e-04
10000,100,1,0.1,24,2,25,1e-04
10000,100,1,0.1,25,2,1,1e-04
10000,100,1,0.1,25,2,2,1e-04
10000,100,1,0.1,25,2,3,1e-04
10000,100,1,0.1,25,2,4,1e-04
10000,100,1,0.1,25,2,5,1e-04
10000,100,1,0.1,25,2,6,1e-04
10000,100,1,0.1,25,2,7,1e-04
10000,100,1,0.1,25,2,8,1e-04
10000,100,1,0.1,25,2,9,1e-04
10000,100,1,0.1,25,2,10,1e-04
10000,100,1,0.1,25,2,11,1e-04
10000,100,1,0.1,25,2,12,1e-04
10000,100,1,0.1,25,2,13,1e-04
10000,100,1,0.1,25,2,14,1e-04
10000,100,1,0.1,25,2,15,1e-04
10000,100,1,0.1,25,2,16,1e-04
10000,100,1,0.1,25,2,17,1e-04
10000,100,1,0.1,25,2,18,1e-04
10000,100,1,0.1,25,2,19,1e-04
10000,100,1,0.1,25,2,20,1e-04
10000,100,1,0.1,25,2,21,1e-04
10000,100,1,0.1,25,2,22,1e-04
10000,100,1,0.1,25,2,23,1e-04
10000,100,1,0.1,25,2,24,1e-04
10000,100,1,0.1,25,2,25,1e-04
10000,100,1,0.1,26,2,1,1e-04
10000,100,1,0.1,26,2,2,1e-04
10000,100,1,0.1,26,2,3,1e-04
10000,100,1,0.1,26,2,4,1e-04
10000,100,1,0.1,26,2,5,1e-04
10000,100,1,0.1,26,2,6,1e-04
10000,100,1,0.1,26,2,7,1e-04
10000,100,1,0.1,26,2,8,1e-04
10000,100,1,0.1,26,2,9,1e-04
10000,100,1,0.1,26,2,10,1e-04
10000,100,1,0.1,26,2,11,1e-04
10000,100,1,0.1,26,2,12,1e-04
10000,100,1,0.1,26,2,13,1e-04
10000,100,1,0.1,26,2,14,1e-04
10000,100,1,0.1,26,2,15,1e-04
10000,100,1,0.1,26,2,16,1e-04
10000,100,1,0.1,26,2,17,1e-04
10000,100,1,0.1,26,2,18,1e-04
10000,100,1,0.1,26,2,19,1e-04
10000,100,1,0.1,26,2,20,1e-04
10000,100,1,0.1,26,2,21,1e-04
10000,100,1,0.1,26,2,22,1e-04
10000,100,1,0.1,26,2,23,1e-04
10000,100,1,0.1,26,2,24,1e-04
10000,100,1,0.1,26,2,25,1e-04
10000,100,1,0.1,27,2,1,1e-04
10000,100,1,0.1,27,2,2,1e-04
10000,100,1,0.1,27,2,3,1e-04
10000,100,1,0.1,27,2,4,1e-04
10000,100,1,0.1,27,2,5,1e-04
10000,100,1,0.1,27,2,6,1e-04
10000,100,1,0.1,27,2,7,1e-04
10000,100,1,0.1,27,2,8,1e-04
10000,100,1,0.1,27,2,9,1e-04
10000,100,1,0.1,27,2,10,1e-04
10000,100,1,0.1,27,2,11,1e-04
10000,100,1,0.1,27,2,12,1e-04
10000,100,1,0.1,27,2,13,1e-04
10000,100,1,0.1,27,2,14,1e-04
10000,100,1,0.1,27,2,15,1e-04
10000,100,1,0.1,27,2,16,1e-04
10000,100,1,0.1,27,2,17,1e-04
10000,100,1,0.1,27,2,18,1e-04
10000,100,1,0.1,27,2,19,1e-04
10000,100,1,0.1,27,2,20,1e-04
10000,100,1,0.1,27,2,21,1e-04
10000,100,1,0.1,27,2,22,1e-04
10000,100,1,0.1,27,2,23,1e-04
10000,100,1,0.1,27,2,24,1e-04
10000,100,1,0.1,27,2,25,1e-04
10000,100,1,0.1,28,2,1,1e-04
10000,100,1,0.1,28,2,2,1e-04
10000,100,1,0.1,28,2,3,1e-04
10000,100,1,0.1,28,2,4,1e-04
10000,100,1,0.1,28,2,5,1e-04
10000,100,1,0.1,28,2,6,1e-04
10000,100,1,0.1,28,2,7,1e-04
10000,100,1,0.1,28,2,8,1e-04
10000,100,1,0.1,28,2,9,1e-04
10000,100,1,0.1,28,2,10,1e-04
10000,100,1,0.1,28,2,11,1e-04
10000,100,1,0.1,28,2,12,1e-04
10000,100,1,0.1,28,2,13,1e-04
10000,100,1,0.1,28,2,14,1e-04
10000,100,1,0.1,28,2,15,1e-04
10000,100,1,0.1,28,2,16,1e-04
10000,100,1,0.1,28,2,17,1e-04
10000,100,1,0.1,28,2,18,1e-04
10000,100,1,0.1,28,2,19,1e-04
10000,100,1,0.1,28,2,20,1e-04
10000,100,1,0.1,28,2,21,1e-04
10000,100,1,0.1,28,2,22,1e-04
10000,100,1,0.1,28,2,23,1e-04
10000,100,1,0.1,28,2,24,1e-04
10000,100,1,0.1,28,2,25,1e-04
10000,100,1,0.1,29,2,1,1e-04
10000,100,1,0.1,29,2,2,1e-04
10000,100,1,0.1,29,2,3,1e-04
10000,100,1,0.1,29,2,4,1e-04
10000,100,1,0.1,29,2,5,1e-04
10000,100,1,0.1,29,2,6,1e-04
10000,100,1,0.1,29,2,7,1e-04
10000,100,1,0.1,29,2,8,1e-04
10000,100,1,0.1,29,2,9,1e-04
10000,100,1,0.1,29,2,10,1e-04
10000,100,1,0.1,29,2,11,1e-04
10000,100,1,0.1,29,2,12,1e-04
10000,100,1,0.1,29,2,13,1e-04
10000,100,1,0.1,29,2,14,1e-04
10000,100,1,0.1,29,2,15,1e-04
10000,100,1,0.1,29,2,16,1e-04
10000,100,1,0.1,29,2,17,1e-04
10000,100,1,0.1,29,2,18,1e-04
10000,100,1,0.1,29,2,19,1e-04
10000,100,1,0.1,29,2,20,1e-04
10000,100,1,0.1,29,2,21,1e-04
10000,100,1,0.1,29,2,22,1e-04
10000,100,1,0.1,29,2,23,1e-04
10000,100,1,0.1,29,2,24,1e-04
10000,100,1,0.1,29,2,25,1e-04
10000,100,1,0.1,30,2,1,1e-04
10000,100,1,0.1,30,2,2,1e-04
10000,100,1,0.1,30,2,3,1e-04
10000,100,1,0.1,30,2,4,1e-04
10000,100,1,0.1,30,2,5,1e-04
10000,100,1,0.1,30,2,6,1e-04
10000,100,1,0.1,30,2,7,1e-04
10000,100,1,0.1,30,2,8,1e-04
10000,100,1,0.1,30,2,9,1e-04
10000,100,1,0.1,30,2,10,1e-04
10000,100,1,0.1,30,2,11,1e-04
10000,100,1,0.1,30,2,12,1e-04
10000,100,1,0.1,30,2,13,1e-04
10000,100,1,0.1,30,2,14,1e-04
10000,100,1,0.1,30,2,15,1e-04
10000,100,1,0.1,30,2,16,1e-04
10000,100,1,0.1,30,2,17,1e-04
10000,100,1,0.1,30,2,18,1e-04
10000,100,1,0.1,30,2,19,1e-04
10000,100,1,0.1,30,2,20,1e-04
10000,100,1,0.1,30,2,21,1e-04
10000,100,1,0.1,30,2,22,1e-04
10000,100,1,0.1,30,2,23,1e-04
10000,100,1,0.1,30,2,24,1e-04
10000,100,1,0.1,30,2,25,1e-04
10000,100,1,0.11,1,2,1,1e-04
10000,100,1,0.11,1,27,2,0.0102
10000,100,1,0.11,1,2,3,1e-04
10000,100,1,0.11,1,2,4,1e-04
10000,100,1,0.11,1,7,5,8e-04
10000,100,1,0.11,1,4,6,3e-04
10000,100,1,0.11,1,41,7,0.0254
10000,100,1,0.11,1,7,8,8e-04
10000,100,1,0.11,1,2,9,1e-04
10000,100,1,0.11,1,2,10,1e-04
10000,100,1,0.11,1,2,11,1e-04
10000,100,1,0.11,1,2,12,1e-04
10000,100,1,0.11,1,2,13,1e-04
10000,100,1,0.11,1,3,14,2e-04
10000,100,1,0.11,1,6,15,8e-04
10000,100,1,0.11,1,6,16,7e-04
10000,100,1,0.11,1,2,17,1e-04
10000,100,1,0.11,1,4,18,5e-04
10000,100,1,0.11,1,72,19,0.0827
10000,100,1,0.11,1,3,20,2e-04
10000,100,1,0.11,1,2,21,1e-04
10000,100,1,0.11,1,2,22,1e-04
10000,100,1,0.11,1,9,23,0.002
10000,100,1,0.11,1,5,24,4e-04
10000,100,1,0.11,1,5,25,5e-04
10000,100,1,0.11,2,27,1,0.7997
10000,100,1,0.11,3,16,1,0.9432
10000,100,1,0.11,4,14,1,0.9784
10000,100,1,0.11,5,11,1,0.9927
10000,100,1,0.11,6,11,1,0.9972
10000,100,1,0.11,7,11,1,0.999
10000,100,1,0.11,8,10,1,0.9993
10000,100,1,0.11,9,13,1,0.9998
10000,100,1,0.11,10,12,1,1
10000,100,1,0.11,11,16,1,0.9999
10000,100,1,0.11,12,17,1,1
10000,100,1,0.11,13,3,1,4e-04
10000,100,1,0.11,13,13,2,0.0029
10000,100,1,0.11,13,3,3,2e-04
10000,100,1,0.11,13,9,4,0.0012
10000,100,1,0.11,13,2,5,1e-04
10000,100,1,0.11,13,3,6,2e-04
10000,100,1,0.11,13,2,7,1e-04
10000,100,1,0.11,13,2,8,1e-04
10000,100,1,0.11,13,5,9,7e-04
