"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.12,17.991,2,1,1e-04
10000,100,1,0.12,17.991,2,2,1e-04
10000,100,1,0.12,17.991,2,3,1e-04
10000,100,1,0.12,17.991,2,4,1e-04
10000,100,1,0.12,17.991,2,5,1e-04
10000,100,1,0.12,17.991,2,6,1e-04
10000,100,1,0.12,17.991,2,7,1e-04
10000,100,1,0.12,17.991,2,8,1e-04
10000,100,1,0.12,17.991,2,9,1e-04
10000,100,1,0.12,17.991,2,10,1e-04
10000,100,1,0.12,19.989,2,1,1e-04
10000,100,1,0.12,19.989,2,2,1e-04
10000,100,1,0.12,19.989,2,3,1e-04
10000,100,1,0.12,19.989,2,4,1e-04
10000,100,1,0.12,19.989,2,5,1e-04
10000,100,1,0.12,19.989,2,6,1e-04
10000,100,1,0.12,19.989,2,7,1e-04
10000,100,1,0.12,19.989,2,8,1e-04
10000,100,1,0.12,19.989,2,9,1e-04
10000,100,1,0.12,19.989,2,10,1e-04
10000,100,1,0.12,21.9868,2,1,1e-04
10000,100,1,0.12,21.9868,2,2,1e-04
10000,100,1,0.12,21.9868,2,3,1e-04
10000,100,1,0.12,21.9868,2,4,1e-04
10000,100,1,0.12,21.9868,2,5,1e-04
10000,100,1,0.12,21.9868,2,6,1e-04
10000,100,1,0.12,21.9868,2,7,1e-04
10000,100,1,0.12,21.9868,2,8,1e-04
10000,100,1,0.12,21.9868,2,9,1e-04
10000,100,1,0.12,21.9868,2,10,1e-04
10000,100,1,0.12,23.9844,2,1,1e-04
10000,100,1,0.12,23.9844,2,2,1e-04
10000,100,1,0.12,23.9844,2,3,1e-04
10000,100,1,0.12,23.9844,2,4,1e-04
10000,100,1,0.12,23.9844,2,5,1e-04
10000,100,1,0.12,23.9844,2,6,1e-04
10000,100,1,0.12,23.9844,2,7,1e-04
10000,100,1,0.12,23.9844,2,8,1e-04
10000,100,1,0.12,23.9844,2,9,1e-04
10000,100,1,0.12,23.9844,2,10,1e-04
10000,100,1,0.12,25.9818,2,1,1e-04
10000,100,1,0.12,25.9818,2,2,1e-04
10000,100,1,0.12,25.9818,2,3,1e-04
10000,100,1,0.12,25.9818,2,4,1e-04
10000,100,1,0.12,25.9818,2,5,1e-04
10000,100,1,0.12,25.9818,2,6,1e-04
10000,100,1,0.12,25.9818,2,7,1e-04
10000,100,1,0.12,25.9818,2,8,1e-04
10000,100,1,0.12,25.9818,2,9,1e-04
10000,100,1,0.12,25.9818,2,10,1e-04
10000,100,1,0.12,27.979,2,1,1e-04
10000,100,1,0.12,27.979,2,2,1e-04
10000,100,1,0.12,27.979,2,3,1e-04
10000,100,1,0.12,27.979,2,4,1e-04
10000,100,1,0.12,27.979,2,5,1e-04
10000,100,1,0.12,27.979,2,6,1e-04
10000,100,1,0.12,27.979,2,7,1e-04
10000,100,1,0.12,27.979,2,8,1e-04
10000,100,1,0.12,27.979,2,9,1e-04
10000,100,1,0.12,27.979,2,10,1e-04
10000,100,1,0.12,29.976,2,1,1e-04
10000,100,1,0.12,29.976,2,2,1e-04
10000,100,1,0.12,29.976,2,3,1e-04
10000,100,1,0.12,29.976,2,4,1e-04
10000,100,1,0.12,29.976,2,5,1e-04
10000,100,1,0.12,29.976,2,6,1e-04
10000,100,1,0.12,29.976,2,7,1e-04
10000,100,1,0.12,29.976,2,8,1e-04
10000,100,1,0.12,29.976,2,9,1e-04
