# index, pos, _pos
230,"array([1506.08,  627.7 ])","array([-0.88581909,  1.50560801])"
231,"array([1510.34,  840.78])","array([-0.43795225,  1.11924518])"
232,"array([1523.55,  500.28])","array([-0.94582998,  1.80208721])"
233,"array([1526.96,  946.04])","array([-0.21802483,  0.90246355])"
234,"array([1529.47, 1264.84])","array([0.38032139, 0.71530758])"
235,"array([1530.8 ,  734.24])","array([-0.94886177,  1.31968349])"
236,"array([1530.8 ,  850.16])","array([-0.50242425,  1.06480829])"
237,"array([1539.63, 1202.86])","array([0.24495703, 0.71190717])"
238,"array([1539.63, 1420.28])","array([0.58647245, 0.41132161])"
239,"array([1544.86,  906.84])","array([-0.33991631,  0.94680791])"
240,"array([1549.55,  567.19])","array([-0.94374975,  1.57911025])"
241,"array([1558.07,  801.58])","array([-0.56362816,  1.14497387])"
242,"array([1560.2 ,  868.48])","array([-0.4411356 ,  0.98272427])"
243,"array([1560.46, 1098.72])","array([0.12721979, 0.72828449])"
244,"array([160.27, 233.08])","array([-0.09395909,  4.23520024])"
245,"array([161.55,   0.82])","array([-0.49026122,  4.41148956])"
246,"array([165.52, 774.63])","array([0.83900973, 3.43063629])"
247,"array([170.09, 988.49])","array([1.23322647, 3.23374159])"
248,"array([ 176.19, 1080.95])","array([1.36811798, 3.09272347])"
249,"array([176.46, 181.94])","array([-0.18952614,  4.3209629 ])"
250,"array([ 178.22, 1485.3 ])","array([2.09335144, 2.59884402])"
251,"array([187.97, 141.46])","array([-0.29441997,  4.3170836 ])"
252,"array([ 188.38, 1448.73])","array([2.04071377, 2.69417337])"
253,"array([ 192.44, 1200.83])","array([1.49206547, 2.87482815])"
254,"array([195.64,  10.2 ])","array([-0.56698078,  4.32356407])"
255,"array([ 197.52, 1424.35])","array([1.94614449, 2.72569776])"
256,"array([ 197.52, 1493.43])","array([2.01522947, 2.48938602])"
257,"array([199.05, 907.72])","array([1.04845486, 3.273104  ])"
258,"array([200.57, 994.59])","array([1.2465639 , 3.11762027])"
259,"array([ 205.65, 1390.82])","array([1.83981789, 2.73720628])"
260,"array([208.19, 659.82])","array([0.68052042, 3.43192325])"
261,"array([212.26, 389.05])","array([0.04187708, 3.97428167])"
262,"array([ 220.89, 1356.28])","array([1.73078832, 2.68548032])"
263,"array([222.06, 149.98])","array([-0.37222819,  4.22880127])"
264,"array([228.51, 585.66])","array([0.54797591, 3.49303898])"
265,"array([ 229.02, 1318.68])","array([1.65466628, 2.75967184])"
266,"array([232.72, 320.02])","array([-0.0433666,  4.0039896])"
267,"array([237.41,  91.17])","array([-0.48670717,  4.25540905])"
268,"array([239.69, 801.04])","array([0.90705845, 3.31956805])"
269,"array([ 24.3 , 929.06])","array([1.27723908, 3.52988828])"
270,"array([ 240.19, 1289.22])","array([1.5820835 , 2.69249949])"
271,"array([ 244.77, 1004.24])","array([1.13802114, 3.03659343])"
272,"array([247.21, 268.02])","array([-0.14793291,  3.97639743])"
273,"array([249.34, 415.9 ])","array([2.97193162e-03, 3.85834438e+00])"
274,"array([253.91, 981.89])","array([0.98737472, 3.08177731])"
275,"array([257.01,  98.84])","array([-0.53767149,  4.17464334])"
276,"array([259.14, 545.88])","array([0.42015887, 3.55425518])"
277,"array([ 262.55, 1219.12])","array([1.48886173, 2.72820085])"
278,"array([ 264.58, 1109.39])","array([1.3523657 , 2.86642078])"
279,"array([ 266.61, 1512.74])","array([1.89085165, 2.41199548])"
